time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0,3092,3,1,147,2,2,2
5,3940,2,1,35,2,2,2
10,4200,2,1,44,2,2,2
15,4286,2,1,11,2,2,2
20,4319,2,1,41,2,2,2
25,4492,2,1,14,2,2,2
30,4267,2,1,12,2,2,2
35,4419,2,1,12,2,2,2
40,4531,2,1,13,2,2,2
45,4398,2,1,10,2,2,2
50,4486,2,1,10,2,2,2
55,3956,2,1,90,2,2,2
60,2,2,2,2,2,2,2
# of txns (including aborted) during benchmark period: 50388
TOTAL - committed: 50388, aborted: 0, avg latency: 2.38 ms
